	age	word_score
0	6	1.0
1	6	1.0
2	6	1.0
3	6	1.0
4	6	1.4
5	6	1.0
6	6	1.0
7	6	1.4
8	6	1.0
9	6	1.25
10	6	1.0
11	6	1.3333333333333333
12	6	1.3333333333333333
13	6	1.5
14	6	1.0
15	6	1.0
16	6	1.0
17	6	1.0
18	6	1.3636363636363635
19	6	1.0
20	6	1.5
21	6	1.0
22	6	1.1111111111111112
23	6	1.0
24	6	1.3333333333333333
25	6	1.2857142857142858
26	6	1.25
27	6	1.2
28	6	1.0
29	6	1.3333333333333333
30	6	1.0
31	6	1.0
32	6	1.4285714285714286
33	6	1.25
34	6	1.0
35	6	1.2222222222222223
36	6	1.0
37	6	1.0
38	6	1.3333333333333333
39	6	1.0
40	6	1.25
41	6	1.0
42	6	1.2857142857142858
43	6	1.3333333333333333
44	6	1.3333333333333333
45	6	1.0
46	6	1.0
47	6	1.0
48	6	1.1666666666666667
49	6	1.0
50	6	1.0
51	6	1.3333333333333333
52	6	1.0
53	6	1.0
54	6	1.1428571428571428
55	6	1.6666666666666667
56	6	1.0
57	6	1.0
58	6	1.0
59	6	1.0
60	6	1.0
61	6	1.0
62	6	1.1428571428571428
63	6	1.6666666666666667
64	6	1.3
65	6	1.7142857142857142
66	6	1.3333333333333333
67	6	1.4285714285714286
68	6	1.6
69	6	1.0
70	6	1.0
71	6	1.3333333333333333
72	6	1.0909090909090908
73	6	1.3333333333333333
74	6	1.0
75	6	1.0
76	6	2.0
77	6	1.125
78	6	1.0
79	6	1.0
80	6	1.0
81	6	1.0
82	6	1.3333333333333333
83	6	1.0
84	6	1.3
85	6	1.0
86	6	1.375
87	6	1.1666666666666667
88	6	1.8
89	6	1.6666666666666667
90	6	1.2857142857142858
91	6	2.0
92	6	1.0
93	6	2.0
94	6	1.3333333333333333
95	6	1.5
96	6	1.0
97	6	1.6666666666666667
98	6	1.0
99	6	1.0
100	6	1.2
101	6	1.25
102	6	1.5
103	6	1.2857142857142858
104	6	1.0
105	6	1.5
106	6	1.5
107	6	1.1428571428571428
108	6	1.0
109	6	1.5
110	6	1.1666666666666667
111	6	1.4285714285714286
112	6	1.0
113	6	1.0
114	6	1.3333333333333333
115	6	1.8571428571428568
116	6	1.5555555555555556
117	6	1.6666666666666667
